triplet_corr_orig,triplet_corr_model,triplet_corr_independent
-0.2480000000000001,-0.23150000000000023,-0.1471831200000003
-0.21800000000000008,-0.22686000000000028,-0.1500027200000003
-0.2360000000000001,-0.23692000000000027,-0.15282232000000032
-0.2660000000000001,-0.25534000000000034,-0.1488748800000003
-0.28000000000000014,-0.24182000000000023,-0.15507800000000033
-0.21000000000000008,-0.24262000000000028,-0.14661920000000028
-0.2460000000000001,-0.23234000000000027,-0.1511305600000003
-0.21000000000000008,-0.24418000000000026,-0.14661920000000028
-0.20400000000000007,-0.22378000000000026,-0.13928824000000029
-0.2340000000000001,-0.25094000000000033,-0.15902544000000032
-0.2280000000000001,-0.2481800000000003,-0.16973992000000035
-0.2560000000000001,-0.26504000000000033,-0.15282232000000032
-0.22000000000000008,-0.22682000000000024,-0.14718312000000028
-0.20200000000000007,-0.24076000000000028,-0.14994972000000029
-0.20400000000000007,-0.24330000000000035,-0.14607648000000029
-0.2260000000000001,-0.23566000000000023,-0.1521630000000003
-0.2400000000000001,-0.23026000000000027,-0.14386320000000027
-0.22800000000000012,-0.2202200000000002,-0.1482897600000003
-0.2320000000000001,-0.22414000000000028,-0.14386320000000027
-0.15800000000000008,-0.19554000000000016,-0.13667004000000027
-0.28800000000000014,-0.2458200000000003,-0.1560362400000003
-0.27800000000000014,-0.2593800000000003,-0.16654932000000033
-0.2660000000000001,-0.2547600000000003,-0.14994972000000029
-0.17200000000000004,-0.20992000000000022,-0.15282232000000032
-0.2620000000000001,-0.23606000000000024,-0.1488748800000003
-0.2440000000000001,-0.22138000000000027,-0.15507800000000033
-0.2260000000000001,-0.23078000000000023,-0.14661920000000028
-0.20200000000000007,-0.18886000000000017,-0.1511305600000003
-0.18200000000000005,-0.2191000000000002,-0.14661920000000028
-0.20400000000000007,-0.19714000000000015,-0.13928824000000029
-0.2540000000000001,-0.2206200000000002,-0.15902544000000032
-0.2240000000000001,-0.22854000000000027,-0.16973992000000035
-0.2480000000000001,-0.2477600000000003,-0.15282232000000032
-0.2480000000000001,-0.26128000000000035,-0.15167328000000033
-0.2220000000000001,-0.23520000000000027,-0.15799300000000033
-0.28800000000000014,-0.25472000000000034,-0.14937520000000032
-0.22000000000000008,-0.22704000000000027,-0.15397136000000033
-0.28400000000000014,-0.2416000000000003,-0.14937520000000032
-0.21000000000000008,-0.22048000000000023,-0.1419064400000003
-0.28800000000000014,-0.2370800000000003,-0.16201464000000035
-0.28200000000000014,-0.2664400000000004,-0.17293052000000037
